Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,ID
9.3,Low Fat,0.016047301,Dairy,249.8092,1999,Medium,Tier 1,Supermarket Type1,3735.138,FDA15OUT049
5.92,Regular,0.019278216,Soft Drinks,48.2692,2009,Medium,Tier 3,Supermarket Type2,443.4228,DRC01OUT018
17.5,Low Fat,0.016760075,Meat,141.618,1999,Medium,Tier 1,Supermarket Type1,2097.27,FDN15OUT049
19.2,Regular,0,Fruits and Vegetables,182.095,1998,,Tier 3,Grocery Store,732.38,FDX07OUT010
8.93,Low Fat,0,Household,53.8614,1987,High,Tier 3,Supermarket Type1,994.7052,NCD19OUT013
10.395,Regular,0,Baking Goods,51.4008,2009,Medium,Tier 3,Supermarket Type2,556.6088,FDP36OUT018
13.65,Regular,0.012741089,Snack Foods,57.6588,1987,High,Tier 3,Supermarket Type1,343.5528,FDO10OUT013
,Low Fat,0.127469857,Snack Foods,107.7622,1985,Medium,Tier 3,Supermarket Type3,4022.7636,FDP10OUT027
16.2,Regular,0.016687114,Frozen Foods,96.9726,2002,,Tier 2,Supermarket Type1,1076.5986,FDH17OUT045
19.2,Regular,0.09444959,Frozen Foods,187.8214,2007,,Tier 2,Supermarket Type1,4710.535,FDU28OUT017
11.8,Low Fat,0,Fruits and Vegetables,45.5402,1999,Medium,Tier 1,Supermarket Type1,1516.0266,FDY07OUT049
18.5,Regular,0.045463773,Dairy,144.1102,1997,Small,Tier 1,Supermarket Type1,2187.153,FDA03OUT046
15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,1999,Medium,Tier 1,Supermarket Type1,1589.2646,FDX32OUT049
17.6,Regular,0.047257328,Snack Foods,119.6782,1997,Small,Tier 1,Supermarket Type1,2145.2076,FDS46OUT046
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,1987,High,Tier 3,Supermarket Type1,1977.426,FDF32OUT013
9,Regular,0.069088961,Breakfast,56.3614,1997,Small,Tier 1,Supermarket Type1,1547.3192,FDP49OUT046
11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,2009,Medium,Tier 3,Supermarket Type2,1621.8888,NCB42OUT018
9,Regular,0.069196376,Breakfast,54.3614,1999,Medium,Tier 1,Supermarket Type1,718.3982,FDP49OUT049
,Low Fat,0.034237682,Hard Drinks,113.2834,1985,Medium,Tier 3,Supermarket Type3,2303.668,DRI11OUT027
13.35,Low Fat,0.10249212,Dairy,230.5352,2004,Small,Tier 2,Supermarket Type1,2748.4224,FDU02OUT035
18.85,Regular,0.138190277,Snack Foods,250.8724,1987,High,Tier 3,Supermarket Type1,3775.086,FDN22OUT013
,Regular,0.035399923,Baking Goods,144.5444,1985,Medium,Tier 3,Supermarket Type3,4064.0432,FDW12OUT027
14.6,Low Fat,0.025698134,Household,196.5084,2004,Small,Tier 2,Supermarket Type1,1587.2672,NCB30OUT035
,Low Fat,0.057556998,Baking Goods,107.6938,1985,Small,Tier 1,Grocery Store,214.3876,FDC37OUT019
13.85,Regular,0.025896485,Frozen Foods,165.021,1997,Small,Tier 1,Supermarket Type1,4078.025,FDR28OUT046
13,Low Fat,0.099887103,Household,45.906,2007,,Tier 2,Supermarket Type1,838.908,NCD06OUT017
7.645,Regular,0.066693437,Snack Foods,42.3112,2004,Small,Tier 2,Supermarket Type1,1065.28,FDV10OUT035
11.65,low fat,0.019356132,Hard Drinks,39.1164,1987,High,Tier 3,Supermarket Type1,308.9312,DRJ59OUT013
5.925,Regular,0.161466534,Dairy,45.5086,1998,,Tier 3,Grocery Store,178.4344,FDE51OUT010
,Regular,0.072221801,Canned,43.6454,1985,Small,Tier 1,Grocery Store,125.8362,FDC14OUT019
19.25,Low Fat,0.170348551,Dairy,55.7956,1998,,Tier 3,Grocery Store,163.7868,FDV38OUT010
18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,2009,Medium,Tier 3,Supermarket Type2,2741.7644,NCS17OUT018
18.7,Low Fat,0,Snack Foods,256.6672,2009,Medium,Tier 3,Supermarket Type2,3068.0064,FDP33OUT018
17.85,Low Fat,0,Breads,93.1436,2002,,Tier 2,Supermarket Type1,2174.5028,FDO23OUT045
17.5,Low Fat,0.097904029,Soft Drinks,174.8738,1997,Small,Tier 1,Supermarket Type1,2085.2856,DRH01OUT046
10,Low Fat,0.089291137,Health and Hygiene,146.7102,1999,Medium,Tier 1,Supermarket Type1,3791.0652,NCX29OUT049
,Regular,0.059511812,Fruits and Vegetables,128.0678,1985,Medium,Tier 3,Supermarket Type3,2797.6916,FDV20OUT027
8.85,Regular,0.113123893,Soft Drinks,122.5388,2009,Medium,Tier 3,Supermarket Type2,1609.9044,DRZ11OUT018
,Regular,0.123111453,Snack Foods,36.9874,1985,Medium,Tier 3,Supermarket Type3,388.1614,FDX10OUT027
,Low Fat,0.026480954,Snack Foods,87.6198,1985,Medium,Tier 3,Supermarket Type3,2180.495,FDB34OUT027
13.35,Low Fat,0.102511504,Dairy,230.6352,1997,Small,Tier 1,Supermarket Type1,3435.528,FDU02OUT046
9.8,Low Fat,0.02681843,Meat,126.002,1987,High,Tier 3,Supermarket Type1,2150.534,FDK43OUT013
13.6,Low Fat,0.117818348,Snack Foods,192.9136,1999,Medium,Tier 1,Supermarket Type1,2527.3768,FDA46OUT049
21.35,Low Fat,0.069102831,Canned,259.9278,2009,Medium,Tier 3,Supermarket Type2,6768.5228,FDC02OUT018
12.15,Regular,0.042277867,Canned,126.5046,1987,High,Tier 3,Supermarket Type1,373.5138,FDL50OUT013
6.42,LF,0.089498926,Dairy,178.1002,1998,,Tier 3,Grocery Store,358.2004,FDM39OUT010
19.6,Low Fat,0,Health and Hygiene,153.3024,2002,,Tier 2,Supermarket Type1,2428.8384,NCP05OUT045
10,Low Fat,0.025879577,Canned,265.2226,2002,,Tier 2,Supermarket Type1,5815.0972,FDV49OUT045
15.85,Regular,0.121632721,Baking Goods,60.622,1997,Small,Tier 1,Supermarket Type1,2576.646,FDL12OUT046
,Regular,0.255394896,Dairy,196.8794,1985,Small,Tier 1,Grocery Store,780.3176,FDS02OUT019
7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,1997,Small,Tier 1,Supermarket Type1,3134.5864,NCL17OUT046
